submission_id,household_id,enum_name,start_time,end_time,submission_date,district,subcounty,gps_lat,gps_lon,hh_size,gender_hh_head,age_hh_head,plot_area_acres,trees_per_acre,coffee_varieties,yield_kg,price_per_kg,uses_fertilizer,fertilizer_type,training_attended,training_topics,satisfaction_1,satisfaction_2,satisfaction_3,satisfaction_4,satisfaction_5,coffee_varieties__KR1,coffee_varieties__KR10,coffee_varieties__KR2,coffee_varieties__KR3,coffee_varieties__KR5,coffee_varieties__KR6,coffee_varieties__KR7,coffee_varieties__KR9,coffee_varieties__count,training_topics__pest_scouting,training_topics__post_harvest,training_topics__pruning,training_topics__shade_mgmt,training_topics__stumping,training_topics__count
uuid:00007,HH-KIR-0007,B. Nakato,2026-05-26 08:04:00,2026-05-26 08:52:00,2026-05-26,kiruhura,nyamarebe,-0.21699,30.70593,4.0,male,37.0,2.13,481.0,KR1 KR5 KR6 KR7,1083.9,4182.0,False,,False,,1,4,5,5,2,1,0,0,0,1,1,1,0,4,0,0,0,0,0,0
uuid:00124,HH-KIR-0124,E. Ainembabazi,2026-05-04 10:42:00,2026-05-04 11:21:00,2026-05-04,kiruhura,bisheshe,-0.09054,30.86331,4.0,male,47.0,3.41,369.0,KR10 KR5 KR7 KR9,1950.0,4423.0,False,,True,pest_scouting pruning shade_mgmt stumping,2,5,1,4,3,0,1,0,0,1,0,1,1,4,1,0,1,1,1,4
uuid:00286,HH-KIR-0286,E. Ainembabazi,2026-05-24 08:57:00,2026-05-24 09:49:00,2026-05-24,kiruhura,nyamarebe,-0.13429,30.83671,6.0,male,42.0,4.15,497.0,KR2 KR3 KR9,3400.0,6338.0,True,organic,True,pest_scouting post_harvest,4,4,2,4,5,0,0,1,1,0,0,0,1,3,1,1,0,0,0,2
uuid:00110,HH-RUB-0110,C. Kyomuhendo,2026-05-14 09:53:00,2026-05-14 09:56:00,2026-05-14,rubirizi,bisheshe,-0.15307,30.1086,8.0,male,46.0,2.74,504.0,KR9,1528.1,5523.0,True,npk,True,pest_scouting post_harvest,4,5,5,3,4,0,0,0,0,0,0,0,1,1,1,1,0,0,0,2
uuid:00125,HH-RUB-0125,F. Byaruhanga,2026-05-16 12:35:00,2026-05-16 13:12:00,2026-05-16,rubirizi,kicuzi,-0.33866,30.18254,4.0,male,,3.07,,KR10 KR5 KR6 KR7,1313.4,,True,dap,False,,5,1,3,1,4,0,1,0,0,1,1,1,0,4,0,0,0,0,0,0
uuid:00223,HH-KIR-0223,B. Nakato,2026-05-17 10:58:00,2026-05-17 11:43:00,2026-05-17,kiruhura,bisheshe,-0.21039,30.85024,7.0,male,32.0,1.77,531.0,KR1 KR10 KR9,1005.3,5418.0,True,dap,True,pest_scouting pruning,2,3,4,1,4,1,1,0,0,0,0,0,1,3,1,0,1,0,0,2
uuid:00376,HH-KIR-0376,E. Ainembabazi,2026-05-06 12:03:00,2026-05-06 12:51:00,2026-05-06,kiruhura,rukiri,-0.10825,30.68842,1.0,male,51.0,1.49,530.0,KR1 KR3 KR9,600.0,6553.0,False,,True,post_harvest pruning stumping,1,3,2,5,2,1,0,0,1,0,0,0,1,3,0,1,1,0,1,3
uuid:00293,HH-RUB-0293,F. Byaruhanga,2026-05-25 16:02:00,2026-05-25 16:35:00,2026-05-25,rubirizi,rukiri,-0.27836,30.01668,6.0,male,46.0,1.14,610.0,KR10,670.9,5388.0,False,,True,pest_scouting shade_mgmt,1,5,4,1,1,0,1,0,0,0,0,0,0,1,1,0,0,1,0,2
uuid:00274,HH-KIR-0274,E. Ainembabazi,2026-05-26 09:32:00,2026-05-26 10:13:00,2026-05-26,kiruhura,kicuzi,-0.09801,30.93289,9.0,male,55.0,3.66,440.0,KR3 KR5 KR9,2050.0,4846.0,False,,False,,4,2,3,3,1,0,0,0,1,1,0,0,1,3,0,0,0,0,0,0
uuid:00340,HH-KIR-0340,E. Ainembabazi,2026-05-27 15:41:00,2026-05-27 16:24:00,2026-05-27,kiruhura,nyamarebe,-0.2421,30.83428,5.0,male,24.0,2.06,326.0,KR1 KR5 KR9,1650.0,5043.0,True,npk,False,,4,4,2,1,5,1,0,0,0,1,0,0,1,3,0,0,1,1,0,2
uuid:00061,HH-KIR-0061,B. Nakato,2026-05-22 09:00:00,2026-05-22 09:32:00,2026-05-22,kiruhura,rukiri,-0.07597,30.85958,4.0,male,52.0,2.89,734.0,KR1,1464.2,6178.0,False,,True,pest_scouting pruning shade_mgmt,5,2,3,2,4,1,0,0,0,0,0,0,0,1,1,0,1,1,0,3
uuid:00395,HH-RUB-0395,F. Byaruhanga,2026-05-12 11:06:00,2026-05-12 11:33:00,2026-05-12,rubirizi,kicuzi,-0.20304,30.19299,6.0,male,38.0,3.15,396.0,KR3,2149.2,4923.0,True,organic,False,,3,4,5,3,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
uuid:00352,HH-KIR-0352,E. Ainembabazi,2026-05-14 10:36:00,2026-05-14 11:17:00,2026-05-14,kiruhura,rukiri,-0.22825,30.61081,6.0,male,68.0,2.86,468.0,KR7 KR9,1850.0,4684.0,True,dap,True,pest_scouting,2,2,4,3,5,0,0,0,0,0,0,1,1,2,1,0,0,0,0,1
uuid:00263,HH-RUB-0263,F. Byaruhanga,2026-05-09 13:13:00,2026-05-09 13:50:00,2026-05-09,rubirizi,bisheshe,-0.2793,30.02273,6.0,female,41.0,6.69,528.0,KR3 KR5,1349.7,5366.0,True,organic,False,,2,5,5,1,2,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0
uuid:00361,HH-KIR-0361,B. Nakato,2026-05-27 13:07:00,2026-05-27 13:44:00,2026-05-27,kiruhura,rukiri,-0.15772,30.69563,7.0,female,42.0,2.19,541.0,KR1 KR10 KR7,934.8,6354.0,True,organic,False,,4,2,3,4,1,1,1,0,0,0,0,1,0,3,0,0,0,0,0,0
uuid:00231,HH-IBA-0231,D. Mugisha,2026-05-22 09:03:00,2026-05-22 09:52:00,2026-05-22,ibanda,nyamarebe,-0.16449,30.56529,5.0,female,73.0,1.48,451.0,KR1 KR3 KR7,627.1,4659.0,False,,False,,3,3,3,3,3,1,0,0,1,0,0,1,0,3,0,0,0,0,0,0
uuid:00405,HH-IBA-0405,D. Mugisha,2026-05-23 11:09:00,2026-05-23 11:43:00,2026-05-23,ibanda,kicuzi,0.00449,30.60313,4.0,male,41.0,1.4,429.0,KR10 KR2 KR6 KR9,909.9,3530.0,True,dap,True,post_harvest pruning stumping,5,5,5,5,5,0,1,1,0,0,1,0,1,4,0,1,1,0,1,3
uuid:00012,HH-IBA-0012,A. Tumusiime,2026-05-09 10:51:00,2026-05-09 11:39:00,2026-05-09,ibanda,rukiri,-0.08027,30.51941,3.0,female,37.0,2.42,395.0,KR9,1938.2,4310.0,False,,True,pruning,3,3,1,5,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1
uuid:00097,HH-KIR-0097,B. Nakato,2026-05-06 12:06:00,2026-05-06 12:45:00,2026-05-06,kiruhura,bisheshe,-0.23059,30.98021,8.0,female,52.0,1.72,492.0,KR3 KR9,859.1,5186.0,True,organic,False,,2,5,1,1,2,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0
uuid:00135,HH-IBA-0135,D. Mugisha,2026-05-23 10:06:00,2026-05-23 10:43:00,2026-05-23,ibanda,rukiri,-0.16839,30.42885,2.0,male,45.0,1.53,553.0,KR1 KR5 KR7 KR9,744.2,5379.0,False,,True,shade_mgmt,2,4,4,5,2,1,0,0,0,1,0,1,1,4,0,0,0,1,0,1
uuid:00018,HH-IBA-0018,A. Tumusiime,2026-05-16 12:54:00,2026-05-16 13:26:00,2026-05-16,ibanda,bisheshe,0.88,34.02,8.0,female,39.0,3.47,499.0,KR1 KR2,1718.7,4927.0,True,dap,False,,1,4,4,5,5,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
uuid:00413,HH-RUB-0413,F. Byaruhanga,2026-05-19 14:13:00,2026-05-19 14:47:00,2026-05-19,rubirizi,rukiri,-0.20769,30.16208,9.0,male,54.0,0.83,437.0,KR9,589.5,4581.0,True,organic,False,,4,3,4,5,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
uuid:00295,HH-KIR-0295,B. Nakato,2026-05-06 08:35:00,2026-05-06 09:05:00,2026-05-06,kiruhura,nyamarebe,-0.11782,30.99725,6.0,male,44.0,1.05,374.0,KR1 KR10,703.3,4588.0,True,organic,False,,5,2,1,5,5,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0
uuid:00271,HH-KIR-0271,B. Nakato,2026-05-23 09:35:00,2026-05-23 10:09:00,2026-05-23,kiruhura,nyamarebe,-0.34205,30.84157,1.0,male,39.0,3.14,485.0,KR10 KR2 KR5,1611.4,5254.0,False,,True,pest_scouting pruning,4,3,4,1,4,0,1,1,0,1,0,0,0,3,1,0,1,0,0,2
uuid:00392,HH-RUB-0392,C. Kyomuhendo,2026-05-13 12:35:00,2026-05-13 12:42:00,2026-05-13,rubirizi,nyamarebe,-0.1639,30.10867,8.0,female,55.0,3.69,401.0,KR3 KR6 KR7 KR9,2297.8,5263.0,True,dap,True,pest_scouting,4,3,4,5,5,0,0,0,1,0,1,1,1,4,1,0,0,0,0,1
uuid:00357,HH-IBA-0357,D. Mugisha,2026-05-20 16:20:00,2026-05-20 17:12:00,2026-05-20,ibanda,nyamarebe,-0.09046,30.46571,6.0,male,39.0,0.58,514.0,KR10 KR2 KR5,361.8,5325.0,False,,False,,4,4,4,4,4,0,1,1,0,1,0,0,0,3,0,0,0,0,0,0
uuid:00051,HH-IBA-0051,D. Mugisha,2026-05-13 13:25:00,2026-05-13 13:45:00,2026-05-13,ibanda,rukiri,-0.13987,30.35587,9.0,male,31.0,3.7,523.0,KR3 KR6 KR9,3400.0,5390.0,True,organic,False,,1,4,5,5,2,0,0,0,1,0,1,0,1,3,0,0,0,0,0,0
uuid:00185,HH-RUB-0185,F. Byaruhanga,2026-05-13 08:21:00,2026-05-13 09:10:00,2026-05-13,rubirizi,rukiri,-0.34694,30.15387,10.0,female,,3.74,,KR1,2135.4,,False,,True,pest_scouting pruning shade_mgmt stumping,1,5,1,4,4,1,0,0,0,0,0,0,0,1,1,0,1,1,1,4
uuid:00294,HH-IBA-0294,A. Tumusiime,2026-05-05 16:50:00,2026-05-05 17:26:00,2026-05-05,ibanda,kicuzi,-0.18914,30.44192,6.0,female,47.0,2.79,496.0,KR1 KR2 KR5 KR9,1729.2,5190.0,False,,False,,2,1,4,2,1,1,0,1,0,1,0,0,1,4,0,0,1,1,0,2
uuid:00133,HH-KIR-0133,B. Nakato,2026-05-09 11:06:00,2026-05-09 11:54:00,2026-05-09,kiruhura,kicuzi,-0.30235,30.84964,5.0,male,36.0,1.45,551.0,KR6,1062.2,4871.0,False,,False,,4,2,5,3,5,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
uuid:00183,HH-IBA-0183,D. Mugisha,2026-05-15 15:55:00,2026-05-15 16:37:00,2026-05-15,ibanda,nyamarebe,-0.13226,30.60731,11.0,male,54.0,1.68,671.0,KR1 KR3 KR5 KR9,1096.7,4650.0,False,,False,,5,5,5,5,5,1,0,0,1,1,0,0,1,4,0,0,0,0,0,0
uuid:00071,HH-RUB-0071,F. Byaruhanga,2026-05-12 16:38:00,2026-05-12 17:24:00,2026-05-12,rubirizi,nyamarebe,-0.29558,30.07156,7.0,male,43.0,9.49,476.0,KR10 KR6,5622.6,5554.0,False,,False,,4,5,5,1,3,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0
uuid:00033,HH-IBA-0033,D. Mugisha,2026-05-05 11:15:00,2026-05-05 11:56:00,2026-05-05,ibanda,kicuzi,-0.16014,30.54488,4.0,male,32.0,1.34,350.0,KR5 KR6 KR9,973.5,4953.0,True,organic,True,pruning shade_mgmt stumping,3,3,3,3,3,0,0,0,0,1,1,0,1,3,0,0,1,1,1,3
uuid:00154,HH-KIR-0154,E. Ainembabazi,2026-05-13 14:43:00,2026-05-13 15:23:00,2026-05-13,kiruhura,nyamarebe,-0.28704,30.82892,8.0,female,48.0,0.56,344.0,KR10 KR3 KR5 KR7,400.0,3959.0,True,organic,False,,1,4,3,4,2,0,1,0,1,1,0,1,0,4,0,0,0,0,0,0
uuid:00238,HH-KIR-0238,E. Ainembabazi,2026-05-20 12:56:00,2026-05-20 13:31:00,2026-05-20,kiruhura,kicuzi,-0.24406,30.94055,8.0,male,53.0,2.02,456.0,KR10 KR2 KR3 KR9,1650.0,5631.0,True,dap,False,,1,2,4,3,5,0,1,1,1,0,0,0,1,4,0,0,0,0,0,0
uuid:00067,HH-KIR-0067,B. Nakato,2026-05-12 14:35:00,2026-05-12 15:25:00,2026-05-12,kiruhura,rukiri,-0.01623,30.94679,6.0,male,35.0,2.32,464.0,KR1 KR10 KR2 KR3,620.7,4275.0,True,npk,False,,5,4,5,4,3,1,1,1,1,0,0,0,0,4,0,0,0,0,0,0
uuid:00002,HH-RUB-0002,C. Kyomuhendo,2026-05-10 16:52:00,2026-05-10 16:59:00,2026-05-10,rubirizi,rukiri,-0.36794,30.11671,7.0,male,54.0,1.01,602.0,KR3 KR6,376.2,6206.0,True,dap,False,,4,5,4,2,4,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0
uuid:00233,HH-RUB-0233,F. Byaruhanga,2026-05-15 11:04:00,2026-05-15 11:42:00,2026-05-15,rubirizi,rukiri,-0.12823,30.09491,5.0,male,38.0,3.44,581.0,KR2 KR3 KR6 KR7,2835.5,4643.0,True,dap,False,,3,5,3,1,3,0,0,1,1,0,1,1,0,4,0,0,0,0,0,0
uuid:00418,HH-KIR-0418,E. Ainembabazi,2026-05-13 09:48:00,2026-05-13 10:31:00,2026-05-13,kiruhura,bisheshe,-0.34097,30.88005,7.0,male,31.0,3.25,412.0,KR2 KR6 KR9,2150.0,4328.0,True,npk,True,pest_scouting post_harvest shade_mgmt stumping,5,5,2,1,4,0,0,1,0,0,1,0,1,3,1,1,0,1,1,4
uuid:00118,HH-KIR-0118,E. Ainembabazi,2026-05-14 13:01:00,2026-05-14 13:23:00,2026-05-14,kiruhura,nyamarebe,-0.23245,30.93102,7.0,male,46.0,1.39,482.0,KR2,750.0,5910.0,True,npk,False,,2,5,1,4,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
uuid:00136,HH-KIR-0136,E. Ainembabazi,2026-05-13 15:59:00,2026-05-13 16:26:00,2026-05-13,kiruhura,nyamarebe,-0.21108,30.80044,7.0,male,35.0,3.68,498.0,KR1 KR2 KR6,2750.0,6234.0,False,,False,,1,3,1,4,3,1,0,1,0,0,1,0,0,3,0,0,0,0,0,0
uuid:00058,HH-KIR-0058,E. Ainembabazi,2026-05-16 15:17:00,2026-05-16 15:41:00,2026-05-16,kiruhura,rukiri,-0.21955,30.88453,10.0,male,26.0,1.28,559.0,KR5 KR6 KR7 KR9,1000.0,5358.0,True,organic,False,,1,3,2,4,4,0,0,0,0,1,1,1,1,4,0,0,0,0,0,0
uuid:00343,HH-KIR-0343,B. Nakato,2026-05-26 09:10:00,2026-05-26 09:45:00,2026-05-26,kiruhura,bisheshe,-0.22221,30.80198,5.0,female,32.0,1.07,506.0,KR10 KR5 KR6,375.4,5845.0,True,dap,False,,4,1,5,1,1,0,1,0,0,1,1,0,0,3,0,0,0,0,0,0
uuid:00029,HH-RUB-0029,F. Byaruhanga,2026-05-05 12:11:00,2026-05-05 12:53:00,2026-05-05,rubirizi,bisheshe,-0.41279,30.07714,4.0,male,19.0,4.42,452.0,KR3,2996.5,5828.0,False,,False,,1,3,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
uuid:00044,HH-RUB-0044,C. Kyomuhendo,2026-05-24 16:26:00,2026-05-24 16:33:00,2026-05-24,rubirizi,nyamarebe,-0.27697,30.21702,2.0,female,37.0,1.66,561.0,KR1 KR2 KR3 KR9,1214.9,4948.0,True,organic,False,,3,4,3,5,5,1,0,1,1,0,0,0,1,4,0,0,0,0,0,0
uuid:00359,HH-RUB-0359,F. Byaruhanga,2026-05-05 15:49:00,2026-05-05 16:14:00,2026-05-05,rubirizi,nyamarebe,-0.19385,30.06128,5.0,female,,1.51,,KR1 KR5,1165.0,,False,,True,post_harvest pruning shade_mgmt stumping,4,4,5,3,2,1,0,0,0,1,0,0,0,2,0,1,1,1,1,4
uuid:00404,HH-RUB-0404,C. Kyomuhendo,2026-05-08 16:46:00,2026-05-08 16:53:00,2026-05-08,rubirizi,rukiri,-0.19467,29.98976,6.0,male,42.0,0.87,323.0,KR2 KR6,487.6,5916.0,True,dap,True,post_harvest pruning shade_mgmt,4,3,1,5,3,0,0,1,0,0,1,0,0,2,0,1,1,1,0,3
uuid:00037,HH-KIR-0037,B. Nakato,2026-05-11 13:47:00,2026-05-11 14:23:00,2026-05-11,kiruhura,rukiri,-0.25031,30.78238,7.0,female,64.0,4.07,490.0,KR9,3535.4,5725.0,False,,True,post_harvest,5,1,5,5,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1
uuid:00377,HH-RUB-0377,F. Byaruhanga,2026-05-14 08:20:00,2026-05-14 08:57:00,2026-05-14,rubirizi,bisheshe,-0.26669,30.06278,8.0,female,51.0,3.42,576.0,KR9,1615.9,5114.0,True,organic,False,,3,5,3,4,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
uuid:00267,HH-IBA-0267,D. Mugisha,2026-05-27 14:27:00,2026-05-27 15:05:00,2026-05-27,ibanda,nyamarebe,-0.17694,30.4099,5.0,male,37.0,3.85,433.0,KR10 KR6,1118.5,5603.0,True,dap,False,,3,3,3,3,3,0,1,0,0,0,1,0,0,2,0,0,0,0,0,0
uuid:00167,HH-RUB-0167,F. Byaruhanga,2026-05-24 13:16:00,2026-05-24 13:48:00,2026-05-24,rubirizi,rukiri,-0.10583,30.0769,5.0,male,,2.92,,KR10 KR2 KR3 KR9,1957.7,,False,,True,post_harvest pruning stumping,3,5,2,1,1,0,1,1,1,0,0,0,1,4,0,1,1,0,1,3
uuid:00252,HH-IBA-0252,A. Tumusiime,2026-05-10 11:34:00,2026-05-10 12:15:00,2026-05-10,ibanda,kicuzi,-0.11291,30.71156,3.0,male,57.0,3.65,497.0,KR9,2358.4,5659.0,True,organic,False,,5,5,5,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
uuid:00207,HH-IBA-0207,D. Mugisha,2026-05-17 13:31:00,2026-05-17 13:58:00,2026-05-17,ibanda,kicuzi,-0.07765,30.5199,3.0,male,46.0,2.21,575.0,KR7,1218.8,4804.0,True,dap,False,,2,1,3,3,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
uuid:00101,HH-RUB-0101,F. Byaruhanga,2026-05-16 09:03:00,2026-05-16 09:36:00,2026-05-16,rubirizi,bisheshe,-0.39095,30.206,12.0,male,46.0,2.73,548.0,KR10 KR2 KR6 KR9,1759.5,4508.0,True,organic,False,,5,2,2,4,5,0,1,1,0,0,1,0,1,4,0,0,0,0,0,0
uuid:00151,HH-KIR-0151,B. Nakato,2026-05-07 11:22:00,2026-05-07 12:00:00,2026-05-07,kiruhura,rukiri,-0.23328,31.00753,5.0,male,42.0,3.95,569.0,KR10,2064.4,5492.0,True,organic,True,post_harvest pruning stumping,4,5,2,2,1,0,1,0,0,0,0,0,0,1,0,1,1,0,1,3
uuid:00200,HH-RUB-0200,C. Kyomuhendo,2026-05-10 16:31:00,2026-05-10 16:38:00,2026-05-10,rubirizi,kicuzi,-0.22437,30.2699,7.0,female,77.0,3.94,399.0,KR9,2922.2,5832.0,True,npk,False,,5,2,5,2,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
uuid:00090,HH-IBA-0090,A. Tumusiime,2026-05-22 12:35:00,2026-05-22 13:17:00,2026-05-22,ibanda,kicuzi,-0.13563,30.49229,6.0,female,47.0,1.76,613.0,KR3 KR6 KR9,1166.1,4573.0,False,,True,pest_scouting post_harvest pruning shade_mgmt,5,1,2,4,3,0,0,0,1,0,1,0,1,3,1,1,1,1,0,4
uuid:00381,HH-IBA-0381,D. Mugisha,2026-05-21 16:21:00,2026-05-21 17:02:00,2026-05-21,ibanda,nyamarebe,-0.18282,30.52515,4.0,male,45.0,5.08,324.0,KR3,3339.2,6132.0,True,dap,False,,3,3,3,3,3,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
uuid:00326,HH-RUB-0326,C. Kyomuhendo,2026-05-11 10:54:00,2026-05-11 11:03:00,,rubirizi,rukiri,-0.20451,30.18218,4.0,female,75.0,0.88,452.0,KR10 KR2 KR7,500.3,5956.0,False,,False,,3,4,4,3,5,0,1,1,0,0,0,1,0,3,0,0,0,0,0,0
uuid:00316,HH-KIR-0316,E. Ainembabazi,2026-05-19 08:42:00,2026-05-19 09:11:00,2026-05-19,kiruhura,kicuzi,-0.23381,30.62458,6.0,female,54.0,2.61,387.0,KR10 KR6 KR9,1350.0,4826.0,False,,True,pruning,5,3,4,5,2,0,1,0,0,0,1,0,1,3,0,0,1,0,0,1
uuid:00370,HH-KIR-0370,E. Ainembabazi,2026-05-20 16:01:00,2026-05-20 16:32:00,2026-05-20,kiruhura,kicuzi,-0.30308,30.99998,3.0,female,42.0,2.72,575.0,KR1 KR2,1350.0,5136.0,True,dap,False,,4,4,5,2,5,1,0,1,0,0,0,0,0,2,0,0,0,0,0,0
