submission_id,household_id,enum_name,start_time,end_time,submission_date,district,subcounty,gps_lat,gps_lon,hh_size,gender_hh_head,age_hh_head,plot_area_acres,trees_per_acre,coffee_varieties,yield_kg,price_per_kg,uses_fertilizer,fertilizer_type,training_attended,training_topics,satisfaction_1,satisfaction_2,satisfaction_3,satisfaction_4,satisfaction_5
uuid:90000,HH-KIR-0271,B. Nakato,2026-05-23T09:35:00,2026-05-23T10:09:00,2026-05-23,Kiruhura,Nyamarebe,-0.34205,30.84157,1,male,39.0,3.14,485.0,KR10 KR2 KR5,1611.4,5254.0,no,,yes,pest_scouting pruning,4,3,4,1,4
uuid:00133,HH-KIR-0133,B. Nakato,2026-05-09T11:06:00,2026-05-09T11:54:00,2026-05-09,Kiruhura,Kicuzi,-0.30235,30.84964,5,male,36.0,1.45,551.0,KR6,1062.2,4871.0,no,,no,,4,2,5,3,5
uuid:00183,HH-IBA-0183,D. Mugisha,2026-05-15T15:55:00,2026-05-15T16:37:00,2026-05-15,Ibanda,Nyamarebe,-0.13226,30.60731,11,male,54.0,1.68,671.0,KR1 KR3 KR5 KR9,1096.7,4650.0,no,,no,,5,5,5,5,5
uuid:00071,HH-RUB-0071,F. Byaruhanga,2026-05-12T16:38:00,2026-05-12T17:24:00,2026-05-12,Rubirizi,Nyamarebe,-0.29558,30.07156,7,male,43.0,9.49,476.0,KR10 KR6,5622.6,5554.0,no,,no,,4,5,5,1,3
uuid:00033,HH-IBA-0033,D. Mugisha,2026-05-05T11:15:00,2026-05-05T11:56:00,2026-05-05,Ibanda,Kicuzi,-0.16014,30.54488,4,male,32.0,1.34,350.0,KR5 KR6 KR9,973.5,4953.0,yes,organic,yes,pruning shade_mgmt stumping,3,3,3,3,3
uuid:00154,HH-KIR-0154,E. Ainembabazi,2026-05-13T14:43:00,2026-05-13T15:23:00,2026-05-13,Kiruhura,Nyamarebe,-0.28704,30.82892,8,female,48.0,0.56,344.0,KR10 KR3 KR5 KR7,400.0,3959.0,yes,organic,no,,1,4,3,4,2
uuid:00238,HH-KIR-0238,E. Ainembabazi,2026-05-20T12:56:00,2026-05-20T13:31:00,2026-05-20,Kiruhura,Kicuzi,-0.24406,30.94055,8,male,53.0,2.02,456.0,KR10 KR2 KR3 KR9,1650.0,5631.0,yes,DAP,no,,1,2,4,3,5
uuid:00067,HH-KIR-0067,B. Nakato,2026-05-12T14:35:00,2026-05-12T15:25:00,2026-05-12,Kiruhura,Rukiri,-0.01623,30.94679,6,male,35.0,2.32,464.0,KR1 KR10 KR2 KR3,620.7,4275.0,yes,NPK,no,,5,4,5,4,3
uuid:00002,HH-RUB-0002,C. Kyomuhendo,2026-05-10T16:52:00,2026-05-10T16:59:00,2026-05-10,Rubirizi,Rukiri,-0.36794,30.11671,7,male,54.0,1.01,602.0,KR3 KR6,376.2,6206.0,yes,DAP,no,,4,5,4,2,4
uuid:00233,HH-RUB-0233,F. Byaruhanga,2026-05-15T11:04:00,2026-05-15T11:42:00,2026-05-15,Rubirizi,Rukiri,-0.12823,30.09491,5,male,38.0,3.44,581.0,KR2 KR3 KR6 KR7,2835.5,4643.0,yes,DAP,no,,3,5,3,1,3
uuid:00418,HH-KIR-0418,E. Ainembabazi,2026-05-13T09:48:00,2026-05-13T10:31:00,2026-05-13,Kiruhura,Bisheshe,-0.34097,30.88005,7,male,31.0,3.25,412.0,KR2 KR6 KR9,2150.0,4328.0,yes,NPK,yes,pest_scouting post_harvest shade_mgmt stumping,5,5,2,1,4
uuid:00118,HH-KIR-0118,E. Ainembabazi,2026-05-14T13:01:00,2026-05-14T13:23:00,2026-05-14,Kiruhura,Nyamarebe,-0.23245,30.93102,7,male,46.0,1.39,482.0,KR2,750.0,5910.0,yes,NPK,no,,2,5,1,4,1
uuid:00136,HH-KIR-0136,E. Ainembabazi,2026-05-13T15:59:00,2026-05-13T16:26:00,2026-05-13,Kiruhura,Nyamarebe,-0.21108,30.80044,7,male,35.0,3.68,498.0,KR1 KR2 KR6,2750.0,6234.0,no,,no,,1,3,1,4,3
uuid:00058,HH-KIR-0058,E. Ainembabazi,2026-05-16T15:17:00,2026-05-16T15:41:00,2026-05-16,Kiruhura,Rukiri,-0.21955,30.88453,10,male,26.0,1.28,559.0,KR5 KR6 KR7 KR9,1000.0,5358.0,yes,organic,no,,1,3,2,4,4
uuid:00343,HH-KIR-0343,B. Nakato,2026-05-26T09:10:00,2026-05-26T09:45:00,2026-05-26,Kiruhura,Bisheshe,-0.22221,30.80198,5,female,32.0,1.07,506.0,KR10 KR5 KR6,375.4,5845.0,yes,DAP,no,,4,1,5,1,1
uuid:00029,HH-RUB-0029,F. Byaruhanga,2026-05-05T12:11:00,2026-05-05T12:53:00,2026-05-05,Rubirizi,Bisheshe,-0.41279,30.07714,4,male,19.0,4.42,452.0,KR3,2996.5,5828.0,no,,no,,1,3,2,1,1
uuid:00044,HH-RUB-0044,C. Kyomuhendo,2026-05-24T16:26:00,2026-05-24T16:33:00,2026-05-24,Rubirizi,Nyamarebe,-0.27697,30.21702,2,female,37.0,1.66,561.0,KR1 KR2 KR3 KR9,1214.9,4948.0,Yes,organic,no,,3,4,3,5,5
uuid:00359,HH-RUB-0359,F. Byaruhanga,2026-05-05T15:49:00,2026-05-05T16:14:00,2026-05-05,Rubirizi,Nyamarebe,-0.19385,30.06128,5,female,,1.51,,KR1 KR5,1165.0,,no,NPK,yes,post_harvest pruning shade_mgmt stumping,4,4,5,3,2
uuid:00404,HH-RUB-0404,C. Kyomuhendo,2026-05-08T16:46:00,2026-05-08T16:53:00,2026-05-08,Rubirizi,Rukiri,-0.19467,29.98976,6,male,42.0,0.87,323.0,KR2 KR6,487.6,5916.0,yes,DAP,yes,post_harvest pruning shade_mgmt,4,3,1,5,3
uuid:00037,HH-KIR-0037,B. Nakato,2026-05-11T13:47:00,2026-05-11T14:23:00,2026-05-11,Kiruhura,Rukiri,-0.25031,30.78238,7,female,64.0,4.07,490.0,KR9,3535.4,5725.0,no,,yes,post_harvest,5,1,5,5,1
uuid:00377,HH-RUB-0377,F. Byaruhanga,2026-05-14T08:20:00,2026-05-14T08:57:00,2026-05-14,Rubirizi,Bisheshe,-0.26669,30.06278,8,female,51.0,3.42,576.0,KR9,1615.9,5114.0,yes,organic,no,,3,5,3,4,5
uuid:00267,HH-IBA-0267,D. Mugisha,2026-05-27T14:27:00,2026-05-27T15:05:00,2026-05-27,Ibanda,Nyamarebe,-0.17694,30.4099,5,male,37.0,3.85,433.0,KR10 KR6,1118.5,5603.0,yes,DAP,no,,3,3,3,3,3
uuid:00167,HH-RUB-0167,F. Byaruhanga,2026-05-24T13:16:00,2026-05-24T13:48:00,2026-05-24,Rubirizi,Rukiri,-0.10583,30.0769,5,male,,2.92,,KR10 KR2 KR3 KR9,1957.7,,No,,yes,post_harvest pruning stumping,3,5,2,1,1
uuid:00252,HH-IBA-0252,A. Tumusiime,2026-05-10T11:34:00,2026-05-10T12:15:00,2026-05-10,Ibanda,Kicuzi,-0.11291,30.71156,3,male,57.0,3.65,497.0,KR9,2358.4,5659.0,Yes,organic,no,,5,5,5,2,2
uuid:00207,HH-IBA-0207,D. Mugisha,2026-05-17T13:31:00,2026-05-17T13:58:00,2026-05-17, Ibanda ,Kicuzi,-0.07765,30.5199,3,male,46.0,2.21,575.0,KR7,1218.8,4804.0,yes,DAP,no,,2,1,3,3,3
uuid:00101,HH-RUB-0101,F. Byaruhanga,2026-05-16T09:03:00,2026-05-16T09:36:00,2026-05-16,Rubirizi,Bisheshe,-0.39095,30.206,12,male,46.0,2.73,548.0,KR10 KR2 KR6 KR9,1759.5,4508.0,yes,organic,no,,5,2,2,4,5
uuid:00151,HH-KIR-0151,B. Nakato,2026-05-07T11:22:00,2026-05-07T12:00:00,2026-05-07,Kiruhura,Rukiri,-0.23328,31.00753,5,male,42.0,3.95,569.0,KR10,2064.4,5492.0,yes,organic,yes,post_harvest pruning stumping,4,5,2,2,1
uuid:00200,HH-RUB-0200,C. Kyomuhendo,2026-05-10T16:31:00,2026-05-10T16:38:00,2026-05-10,Rubirizi,Kicuzi,-0.22437,30.2699,7,female,77.0,3.94,399.0,KR9,2922.2,5832.0,yes,NPK,no,,5,2,5,2,1
uuid:00090,HH-IBA-0090,A. Tumusiime,2026-05-22T12:35:00,2026-05-22T13:17:00,2026-05-22,Ibanda,Kicuzi,-0.13563,30.49229,6,female,47.0,1.76,613.0,KR3 KR6 KR9,1166.1,4573.0,no,,yes,pest_scouting post_harvest pruning shade_mgmt,5,1,2,4,3
uuid:00381,HH-IBA-0381,D. Mugisha,2026-05-21T16:21:00,2026-05-21T17:02:00,2026-05-21,Ibanda,Nyamarebe,-0.18282,30.52515,4,male,45.0,5.08,324.0,KR3,3339.2,6132.0,yes,DAP,no,,3,3,3,3,3
uuid:00326,HH-RUB-0326,C. Kyomuhendo,2026-05-11T10:54:00,2026-05-11T11:03:00,2027-03-14,Rubirizi,Rukiri,-0.20451,30.18218,4,female,75.0,0.88,452.0,KR10 KR2 KR7,500.3,5956.0,no,,no,,3,4,4,3,5
uuid:00316,HH-KIR-0316,E. Ainembabazi,2026-05-19T08:42:00,2026-05-19T09:11:00,2026-05-19,Kiruhura,Kicuzi,-0.23381,30.62458,6,female,54.0,2.61,387.0,KR10 KR6 KR9,1350.0,4826.0,no,,yes,pruning,5,3,4,5,2
uuid:00370,HH-KIR-0370,E. Ainembabazi,2026-05-20T16:01:00,2026-05-20T16:32:00,2026-05-20,Kiruhura,Kicuzi,-0.30308,30.99998,3,female,42.0,2.72,575.0,KR1 KR2,1350.0,5136.0,yes,DAP,no,,4,4,5,2,5
uuid:00416,HH-RUB-0416,C. Kyomuhendo,2026-05-04T15:03:00,2026-05-04T15:10:00,2026-05-04,Rubirizi,Nyamarebe,-0.29828,30.20659,6,MALE,51.0,0.83,569.0,KR5,660.0,4670.0,no,,no,,3,5,2,2,5
uuid:00265,HH-KIR-0265,B. Nakato,2026-05-12T12:18:00,2026-05-12T12:55:00,2026-05-12,Kiruhura,Rukiri,-0.11994,30.69664,7,male,51.0,3.84,409.0,KR1 KR10 KR3 KR7,3268.3,5294.0,yes,DAP,no,,5,3,1,2,2
uuid:00114,HH-IBA-0114,A. Tumusiime,2026-05-19T14:06:00,2026-05-19T14:30:00,2026-05-19,Ibanda,Rukiri,-0.1976,30.49761,7,male,40.0,1.24,406.0,KR2 KR9,534.3,5441.0,no,,no,,1,5,4,3,5
uuid:00336,HH-IBA-0336,A. Tumusiime,2026-05-21T13:37:00,2026-05-21T14:18:00,2026-05-21,Ibanda,Bisheshe,-0.23594,30.60083,6,male,31.0,3.05,387.0,KR2 KR3,1980.0,4690.0,no,,yes,pest_scouting post_harvest,3,4,2,4,5
uuid:00106,HH-KIR-0106,E. Ainembabazi,2026-05-04T13:21:00,2026-05-04T14:10:00,2026-05-04,Kiruhura,Bisheshe,2.31,31.4,3,male,61.0,1.59,407.0,KR2,950.0,5432.0,no,,yes,shade_mgmt,4,2,1,1,3
uuid:00402,HH-IBA-0402,A. Tumusiime,2026-05-11T13:40:00,2026-05-11T14:10:00,2026-05-11,Ibanda,Kicuzi,0.05854,30.65836,7,female,23.0,3.94,400.0,KR2,1568.6,4980.0,no,,yes,pruning shade_mgmt stumping,2,5,5,2,1
uuid:00163,HH-KIR-0163,B. Nakato,2026-05-11T14:36:00,2026-05-11T15:11:00,2026-05-11,Kiruhura,Kicuzi,-0.2901,30.74782,5,male,71.0,2.36,510.0,KR1 KR10 KR2 KR3,2180.2,4748.0,yes,organic,yes,pest_scouting pruning,3,1,5,5,5
uuid:00013,HH-KIR-0013,B. Nakato,2026-05-25T15:22:00,2026-05-25T15:49:00,2026-05-25,Kiruhura,Bisheshe,-0.28692,30.80576,5,female,50.0,6.18,438.0,KR1 KR2 KR9,4594.7,4927.0,no,,yes,pest_scouting,4,1,2,3,5
uuid:00119,HH-RUB-0119,F. Byaruhanga,2026-05-09T15:04:00,2026-05-09T15:49:00,2026-05-09,Rubirizi,Bisheshe,-0.07098,30.15479,2,MALE,40.0,2.54,477.0,KR10 KR2 KR9,731.5,5246.0,no,,no,,2,3,2,1,1
uuid:00237,HH-IBA-0237,D. Mugisha,2026-05-12T14:14:00,2026-05-12T14:34:00,2026-05-12,Ibanda,Nyamarebe,-0.34417,30.63851,5,male,36.0,1.75,528.0,KR10 KR6 KR7 KR9,1330.2,5060.0,yes,organic,no,,3,3,3,3,3
uuid:00152,HH-RUB-0152,C. Kyomuhendo,2026-05-05T09:11:00,2026-05-05T09:15:00,2026-05-05,Rubirizi,Bisheshe,-0.20121,30.19304,4,male,80.0,2.22,565.0,KR10 KR2 KR9,1365.6,4186.0,no,,no,,3,2,1,2,1
uuid:00337,HH-KIR-0337,B. Nakato,2026-05-26T12:45:00,2026-05-26T13:22:00,2026-05-26,Kiruhura,Rukiri,-0.06217,30.95476,8,male,50.0,0.63,365.0,KR6,139.9,5625.0,yes,NPK,yes,post_harvest,1,2,4,3,4
uuid:00205,HH-KIR-0205,B. Nakato,2026-05-25T08:15:00,2026-05-25T09:03:00,2026-05-25,Kiruhura,Nyamarebe,-0.19469,30.77384,7,male,39.0,3.91,477.0,KR2 KR7,2476.9,5667.0,yes,NPK,no,,2,1,1,3,4
uuid:00112,HH-KIR-0112,E. Ainembabazi,2026-05-24T13:14:00,2026-05-24T13:59:00,2026-05-24,Kiruhura,Nyamarebe,-0.1029,30.88504,7,male,54.0,4.62,559.0,KR10 KR2 KR3 KR9,2450.0,6333.0,no,,no,,4,5,1,3,4
uuid:00134,HH-RUB-0134,C. Kyomuhendo,2026-05-08T11:04:00,2026-05-08T11:12:00,2026-05-08,Rubirizi,Rukiri,-0.36369,29.87622,2,male,44.0,4.23,408.0,KR10 KR5,2583.3,4709.0,no,,no,,5,1,2,2,1
uuid:00073,HH-KIR-0073,B. Nakato,2026-05-24T08:08:00,2026-05-24T08:50:00,2026-05-24,Kiruhura,Rukiri,-0.29922,30.84504,9,male,40.0,3.05,548.0,KR5 KR6,3349.3,6312.0,yes,DAP,no,,5,1,3,5,2
uuid:00298,HH-KIR-0298,E. Ainembabazi,2026-05-13T13:01:00,2026-05-13T13:28:00,2026-05-13,Kiruhura,Kicuzi,0.00524,30.7849,6,male,41.0,2.13,604.0,KR10 KR3 KR7,750.0,4388.0,no,,yes,post_harvest pruning,5,1,2,4,1
